publicid,eventtype,origintime,modificationtime,longitude, latitude, magnitude, depth,magnitudetype,depthtype,evaluationmethod,evaluationstatus,evaluationmode,earthmodel,usedphasecount,usedstationcount,magnitudestationcount,minimumdistance,azimuthalgap,originerror,magnitudeuncertainty
2019p780787,earthquake,2019-10-16T21:23:35.421Z,2019-10-16T21:26:23.562Z,173.0568542,-42.09828568,2.137964351,49.21092987,M,,LOCSAT,confirmed,manual,iasp91,18,11,2,0.1496165097,70.1206665,0.3124788583,0
2019p780684,earthquake,2019-10-16T20:28:31.408Z,2019-10-16T20:32:13.468Z,173.5309906,-42.17947769,2.689394375,5,M,operator assigned,LOCSAT,confirmed,manual,iasp91,25,17,9,0.1716370732,99.10814667,0.4532815626,0
2019p780115,earthquake,2019-10-16T15:25:17.705Z,2019-10-16T15:39:12.099Z,171.5923462,-43.12891769,1.963637684,5,M,operator assigned,LOCSAT,confirmed,manual,iasp91,26,18,5,0.1368651092,74.54324341,0.3843349787,0
2019p778720,earthquake,2019-10-16T03:02:06.918Z,2019-10-16T03:06:36.488Z,173.5750885,-42.27584839,2.201613042,5,M,operator assigned,LOCSAT,confirmed,manual,iasp91,23,14,4,0.1425793916,125.6648273,0.7394678924,0
2019p778680,earthquake,2019-10-16T02:40:54.772Z,2019-10-16T02:46:34.071Z,173.6177063,-42.29896545,2.201991017,9.831418037,M,,LOCSAT,confirmed,manual,iasp91,21,15,3,0.1306940168,134.7912846,0.8519766618,0
2019p777893,earthquake,2019-10-15T19:41:55.359Z,2019-10-15T19:44:29.904Z,172.8405762,-43.48771286,2.129969075,6.211550713,M,,LOCSAT,confirmed,manual,iasp91,18,11,7,0.08175412565,120.2211227,0.3372170918,0
2019p777715,earthquake,2019-10-15T18:06:36.818Z,2019-10-15T18:08:33.332Z,173.5416107,-42.29148865,2.274980142,5.048016071,M,,LOCSAT,confirmed,manual,iasp91,16,11,4,0.1244281381,153.684103,0.4857760662,0
2019p777510,earthquake,2019-10-15T16:17:49.304Z,2019-10-15T16:33:37.810Z,173.147049,-43.03722763,2.561224129,6.569024563,M,,LOCSAT,confirmed,manual,iasp91,15,13,10,0.1079984158,162.8171406,0.4440881118,0
2019p774540,earthquake,2019-10-14T13:55:10.722Z,2019-10-14T14:24:12.761Z,172.8608856,-43.15159225,1.893657608,5,M,operator assigned,LOCSAT,confirmed,manual,iasp91,13,10,3,0.09518963844,131.117012,0.3230006027,0
2019p774358,earthquake,2019-10-14T12:18:07.414Z,2019-10-14T12:25:24.477Z,173.8210297,-42.24782944,2.310625736,5,M,operator assigned,LOCSAT,confirmed,manual,iasp91,19,13,7,0.205531463,166.5852318,0.7033722593,0
2019p773816,earthquake,2019-10-14T07:29:27.652Z,2019-10-14T07:36:54.866Z,172.8574982,-42.6346283,2.149671576,4.638391972,M,,LOCSAT,confirmed,manual,iasp91,25,17,4,0.07876720279,74.5578537,0.3895350863,0
2019p771448,earthquake,2019-10-13T10:27:42.323Z,2019-10-13T10:55:09.751Z,172.3736115,-43.60588074,1.241513906,3.151913881,M,,LOCSAT,confirmed,manual,iasp91,22,15,4,0.01414172351,112.4965363,0.3569269688,0
2019p768979,earthquake,2019-10-12T12:31:59.192Z,2019-10-12T12:34:18.460Z,172.4405823,-43.57291794,2.013474498,5.201952934,M,,LOCSAT,confirmed,manual,iasp91,21,17,2,0.0475911051,73.09332275,0.2836901391,0
2019p768501,earthquake,2019-10-12T08:17:38.016Z,2019-10-12T08:24:05.000Z,173.3742523,-42.50587845,2.96619166,5,M,operator assigned,LOCSAT,confirmed,manual,iasp91,22,17,13,0.1514225304,119.8686676,0.7503669466,0
2019p765828,earthquake,2019-10-11T08:33:22.028Z,2019-10-11T09:06:37.769Z,172.6435089,-42.55089188,2.3538108,5,M,operator assigned,LOCSAT,confirmed,manual,iasp91,25,16,4,0.1409327686,43.57089233,0.6072711477,0
2019p763128,earthquake,2019-10-10T08:34:59.667Z,2019-10-10T08:40:02.752Z,173.5639648,-42.17126846,1.650610545,8.816527367,M,,LOCSAT,confirmed,manual,iasp91,15,10,3,0.170733884,155.0315552,0.2739523792,0
2019p762951,earthquake,2019-10-10T07:00:24.912Z,2019-10-10T07:03:42.050Z,173.5431061,-43.92638779,2.680585773,14.18080044,M,,LOCSAT,confirmed,manual,iasp91,12,8,4,0.4046618938,268.6059265,0.4959866048,0
2019p762899,earthquake,2019-10-10T06:32:50.241Z,2019-10-10T06:35:32.811Z,173.5877838,-42.16651917,1.695213381,6.7679286,M,,LOCSAT,confirmed,manual,iasp91,11,7,3,0.2519155443,162.6957054,0.1435363516,0
2019p761813,earthquake,2019-10-09T20:54:04.035Z,2019-10-09T21:03:57.470Z,172.0352173,-43.58588409,2.315055613,3.280508041,M,,LOCSAT,confirmed,manual,iasp91,24,18,10,0.03890812397,60.06216431,0.3865405566,0
2019p759870,earthquake,2019-10-09T03:38:56.615Z,2019-10-09T03:42:30.897Z,173.5553284,-42.19983292,2.434931098,5,M,operator assigned,LOCSAT,confirmed,manual,iasp91,13,10,6,0.2163478732,105.3759155,0.242964552,0
2019p755857,earthquake,2019-10-07T16:00:59.632Z,2019-10-07T16:06:26.723Z,173.922821,-42.24290085,1.97565378,3.669266939,M,,LOCSAT,confirmed,manual,iasp91,20,13,4,0.2903047502,207.3617325,0.7461363621,0
2019p752221,earthquake,2019-10-06T07:43:23.626Z,2019-10-06T07:51:17.778Z,173.144043,-42.51765442,2.997821892,5,M,operator assigned,LOCSAT,confirmed,manual,iasp91,38,28,25,0.1217202172,84.77086639,0.569776309,0
