publicid,TotalCount,mmi1,mmi2,mmi3,mmi4,mmi5,mmi6,mmi7,mmi8,mmi9
2019p766231,1,0,0,1,0,0,0,0,0,0
2019p765892,1,0,0,1,0,0,0,0,0,0
2019p765783,2,0,0,2,0,0,0,0,0,0
2019p765350,1,0,0,1,0,0,0,0,0,0
2019p764729,2,0,0,2,0,0,0,0,0,0
2019p763520,1,0,0,1,0,0,0,0,0,0
2019p762813,1,0,0,1,0,0,0,0,0,0
2019p762746,2,0,0,1,1,0,0,0,0,0
2019p761283,1,0,0,1,0,0,0,0,0,0
2019p760771,2,0,0,1,1,0,0,0,0,0
2019p760576,2,0,0,2,0,0,0,0,0,0
2019p760262,1,0,0,1,0,0,0,0,0,0
2019p760248,2,0,0,2,0,0,0,0,0,0
2019p757719,1,0,0,1,0,0,0,0,0,0
2019p757450,1,0,0,1,0,0,0,0,0,0
2019p757360,1,0,0,0,1,0,0,0,0,0
2019p757355,2,0,0,1,1,0,0,0,0,0
2019p756711,2,0,0,1,1,0,0,0,0,0
2019p756622,1,0,0,1,0,0,0,0,0,0
2019p756382,2,0,0,0,1,1,0,0,0,0
2019p755773,1,0,0,1,0,0,0,0,0,0
2019p755445,1,0,0,1,0,0,0,0,0,0
2019p755237,2,0,0,2,0,0,0,0,0,0
2019p754703,8,0,0,4,1,2,1,0,0,0
2019p754622,7,0,0,5,1,1,0,0,0,0
2019p754583,26,0,0,12,8,5,0,1,0,0
2019p753733,1,0,0,1,0,0,0,0,0,0
2019p753673,2,0,0,2,0,0,0,0,0,0
2019p752837,1,0,0,1,0,0,0,0,0,0
2019p752743,1,0,0,1,0,0,0,0,0,0
2019p752612,2,0,0,2,0,0,0,0,0,0
2019p752517,21,0,0,15,5,1,0,0,0,0
2019p752434,6,0,0,5,1,0,0,0,0,0
2019p752415,34,0,0,15,17,2,0,0,0,0
2019p752405,32,0,0,13,17,2,0,0,0,0
2019p752336,1,0,0,1,0,0,0,0,0,0
2019p752279,3,0,0,1,2,0,0,0,0,0
