publicid,eventtype,origintime,modificationtime,longitude, latitude, magnitude, depth,magnitudetype,depthtype,evaluationmethod,evaluationstatus,evaluationmode,earthmodel,usedphasecount,usedstationcount,magnitudestationcount,minimumdistance,azimuthalgap,originerror,magnitudeuncertainty
2019p765784,earthquake,2019-10-11T08:10:00.490Z,2019-10-11T08:15:11.857Z,173.1049347,-41.48139572,1.987872234,54.28179932,M,,LOCSAT,confirmed,manual,iasp91,23,14,5,0.2737600505,51.86614609,0.332380863,0
2019p765600,earthquake,2019-10-11T06:31:52.292Z,2019-10-11T08:05:15.686Z,171.4290314,-43.06453705,2.602479756,5,M,operator assigned,LOCSAT,confirmed,manual,iasp91,22,16,8,0.1539478749,93.21513999,0.3830090092,0
2019p763835,earthquake,2019-10-10T14:51:27.193Z,2019-10-10T14:58:37.237Z,171.7110901,-42.72691345,1.506655077,5,M,operator assigned,LOCSAT,confirmed,manual,iasp91,20,14,2,0.1967483908,93.46714163,0.5899679954,0
2019p762926,earthquake,2019-10-10T06:47:29.185Z,2019-10-10T06:50:09.883Z,173.5365295,-40.34522629,2.094018218,156.4521484,M,,LOCSAT,confirmed,manual,iasp91,11,8,3,0.8152628541,184.8729134,0.3584422296,0
2019p760133,earthquake,2019-10-09T05:58:59.278Z,2019-10-09T06:01:07.289Z,173.790329,-40.48701096,2.77057643,83.91915894,M,,LOCSAT,confirmed,manual,iasp91,18,10,8,0.3298756182,112.6434584,0.3644052145,0
2019p758477,earthquake,2019-10-08T15:16:53.114Z,2019-10-08T15:20:36.367Z,170.8882446,-43.25546265,2.58453537,5,M,operator assigned,LOCSAT,confirmed,manual,iasp91,32,30,8,0.2122696042,78.29071045,0.6323554348,0
2019p757686,earthquake,2019-10-08T08:15:18.246Z,2019-10-08T08:31:43.287Z,171.8220673,-42.93443298,2.014026118,5,M,operator assigned,LOCSAT,confirmed,manual,iasp91,27,17,7,0.1873259395,65.96160126,0.568605264,0
2019p757525,earthquake,2019-10-08T06:49:44.800Z,2019-10-08T06:54:08.715Z,172.4528809,-42.12963486,2.39834414,5,M,operator assigned,LOCSAT,confirmed,manual,iasp91,25,18,6,0.287976563,54.28452063,0.8189613685,0
2019p756022,earthquake,2019-10-07T17:28:32.526Z,2019-10-07T17:33:06.812Z,172.4433899,-41.78552246,2.181411251,57.55721283,M,,LOCSAT,confirmed,manual,iasp91,20,14,6,0.3462081552,60.63189697,0.5159490627,0
2019p756004,earthquake,2019-10-07T17:19:00.173Z,2019-10-07T17:23:10.044Z,168.6830902,-44.13772202,2.482944344,5,M,operator assigned,LOCSAT,confirmed,manual,iasp91,11,7,3,0.09797932953,183.7683182,0.5144987668,0
2019p755008,earthquake,2019-10-07T08:28:32.431Z,2019-10-07T08:31:41.917Z,173.5938721,-40.79835892,1.965562932,65.53395844,M,,LOCSAT,confirmed,manual,iasp91,16,12,6,0.2488555163,183.1485901,0.4723591623,0
2019p754196,earthquake,2019-10-07T01:16:56.354Z,2019-10-07T01:18:49.988Z,173.2401733,-41.03737259,1.846841354,87.43023682,M,,LOCSAT,confirmed,manual,iasp91,17,9,4,0.2081253678,134.4996109,0.4036030506,0
2019p752627,earthquake,2019-10-06T11:19:59.508Z,2019-10-06T11:26:40.092Z,170.9131317,-43.20347977,1.965301965,5,M,operator assigned,LOCSAT,confirmed,manual,iasp91,19,14,7,0.1825585961,72.09160233,0.4683972709,0
2019p752212,earthquake,2019-10-06T07:38:52.045Z,2019-10-06T07:43:44.851Z,170.9209137,-43.21297073,1.176350813,5,M,operator assigned,LOCSAT,confirmed,manual,iasp91,12,9,1,0.1933056414,98.93009949,0.9178289803,0
2019p750723,earthquake,2019-10-05T18:25:25.410Z,2019-10-05T18:30:26.077Z,168.8337555,-44.09441376,2.790599626,2.7082479,M,,LOCSAT,confirmed,manual,iasp91,20,14,7,0.04074088857,88.07973862,0.6370898851,0
2019p749276,earthquake,2019-10-05T05:34:18.512Z,2019-10-31T21:09:44.353Z,171.3711395,-42.7060318,2.651201534,6.089773655,M,,LOCSAT,confirmed,manual,iasp91,35,24,7,0.0568561554,65.74081421,0.6813839644,0
2019p746175,quarry blast,2019-10-04T02:02:28.000Z,2019-10-04T02:17:54.237Z,171.9,-41.65,2.453689933,0,M,,,confirmed,manual,,0,0,6,0,0,0.6675996798,0
2019p746103,earthquake,2019-10-04T01:24:02.445Z,2019-10-04T01:57:20.243Z,172.5688019,-41.16848373,2.874627788,112.1786194,M,,LOCSAT,confirmed,manual,iasp91,24,17,19,0.2707666159,130.3102264,0.4047283971,0
2019p744597,earthquake,2019-10-03T12:01:24.646Z,2019-10-03T12:06:56.919Z,169.0192261,-44.0563736,1.826791593,5,M,operator assigned,LOCSAT,confirmed,manual,iasp91,18,13,2,0.1693449169,83.3074069,0.8824003553,0
2019p744474,earthquake,2019-10-03T10:56:02.109Z,2019-10-03T11:00:04.114Z,171.407547,-43.06357193,2.032219062,5,M,operator assigned,LOCSAT,confirmed,manual,iasp91,20,15,7,0.2633210421,67.02394104,0.4369906317,0
2019p743661,earthquake,2019-10-03T03:42:49.233Z,2019-10-30T04:44:51.060Z,169.5592194,-43.8421669,2.791834328,5,M,operator assigned,LOCSAT,confirmed,manual,iasp91,15,10,5,0.3618710041,127.4682178,0.5229167158,0
2019p743165,earthquake,2019-10-02T23:18:39.937Z,2019-10-29T22:36:07.073Z,172.4876862,-41.21401596,2.415886632,159.9866791,M,,LOCSAT,confirmed,manual,iasp91,34,24,8,0.2694241703,140.8054285,0.5148963502,0
2019p742127,earthquake,2019-10-02T14:05:22.201Z,2019-10-29T05:01:33.487Z,172.2078857,-41.7245636,2.759080127,3.965153933,M,,LOCSAT,confirmed,manual,iasp91,20,12,6,0.1172666475,109.1895952,0.4153689828,0
2019p741089,earthquake,2019-10-02T04:52:38.976Z,2019-10-02T05:56:25.262Z,173.1884003,-41.3159523,2.114877643,84.05883789,M,,LOCSAT,confirmed,manual,iasp91,16,10,6,0.1746438295,78.86957169,0.3944205187,0
