publicid,longitude,latitude,total_reports,mmi
2019p815146,174.765014648438,-41.2948608398438,1,3
2019p815146,168.777465820312,-45.0082397460938,1,3
2019p814867,174.984741210938,-40.9323120117188,1,4
2019p814804,175.775756835938,-37.8121948242188,1,3
2019p814639,176.325073242188,-37.7188110351562,1,3
2019p814639,167.920532226562,-46.3485717773438,1,4
2019p814639,175.303344726562,-37.8176879882812,1,3
2019p814477,172.545776367188,-43.5580444335938,1,3
2019p814194,173.270874023438,-41.2948608398438,1,3
2019p814159,176.984252929688,-37.9660034179688,1,3
2019p813173,174.193725585938,-39.2349243164062,1,3
2019p813173,170.524291992188,-45.8651733398438,1,3
2019p812875,176.094360351562,-38.6801147460938,3,4
2019p812875,176.083374023438,-38.6911010742188,6,4
2019p812875,176.094360351562,-38.6746215820312,1,5
2019p812875,176.072387695312,-38.6746215820312,13,5
2019p812875,176.094360351562,-38.6965942382812,4,4
2019p812875,176.072387695312,-38.6856079101562,1,3
2019p812875,176.105346679688,-38.6856079101562,1,3
2019p812875,176.094360351562,-38.6856079101562,1,5
2019p812875,176.083374023438,-38.6746215820312,1,3
2019p812875,176.083374023438,-38.6965942382812,1,3
2019p812875,176.083374023438,-38.6856079101562,5,3
2019p812875,176.094360351562,-38.7020874023438,1,3
2019p812875,177.896118164062,-38.5372924804688,1,3
2019p812875,176.072387695312,-38.6691284179688,1,4
2019p812875,176.061401367188,-38.6746215820312,2,3
2019p812875,176.083374023438,-38.6801147460938,5,4
2019p812875,176.083374023438,-38.6691284179688,1,3
2019p812875,176.094360351562,-38.6911010742188,3,3
2019p812875,176.061401367188,-38.6801147460938,1,3
2019p812372,175.863647460938,-40.3335571289062,1,3
2019p812220,176.215209960938,-38.1472778320312,1,4
2019p812211,176.127319335938,-37.7462768554688,1,3
2019p812211,176.215209960938,-38.1472778320312,1,4
2019p812136,175.182495117188,-39.3502807617188,1,3
2019p811805,176.973266601562,-37.9605102539062,1,3
2019p811805,174.874877929688,-41.1245727539062,1,3
2019p811805,175.588989257812,-40.3720092773438,2,5
2019p811718,176.984252929688,-37.9714965820312,1,3
2019p811718,176.984252929688,-37.9550170898438,1,4
2019p811718,176.962280273438,-37.9605102539062,2,3
2019p811718,176.819458007812,-39.4436645507812,1,8
2019p811718,176.226196289062,-38.1527709960938,1,3
2019p811718,176.929321289062,-37.9275512695312,1,4
2019p811718,176.995239257812,-37.9550170898438,2,3
2019p811718,177.006225585938,-37.9605102539062,1,3
2019p811718,176.984252929688,-37.9769897460938,1,3
2019p811718,175.852661132812,-37.3837280273438,1,3
2019p811718,177.006225585938,-37.9495239257812,1,4
2019p811718,175.457153320312,-37.9769897460938,1,3
2019p811715,176.984252929688,-37.9550170898438,3,4
2019p811715,176.984252929688,-37.9714965820312,1,3
2019p811715,176.819458007812,-39.4436645507812,1,8
2019p811715,176.962280273438,-37.9605102539062,2,3
2019p811715,176.973266601562,-37.9330444335938,1,3
2019p811715,176.984252929688,-37.9385375976562,1,3
2019p811715,176.226196289062,-38.1527709960938,1,3
2019p811715,176.929321289062,-37.9275512695312,1,4
2019p811715,176.995239257812,-37.9550170898438,2,3
2019p811715,177.006225585938,-37.9605102539062,1,3
2019p811715,176.984252929688,-37.9769897460938,1,3
2019p811715,175.852661132812,-37.3837280273438,1,3
2019p811715,175.457153320312,-37.9769897460938,1,3
2019p811715,177.006225585938,-37.9495239257812,1,4
2019p811696,176.984252929688,-37.9550170898438,3,4
2019p811696,176.984252929688,-37.9714965820312,1,3
2019p811696,176.962280273438,-37.9605102539062,2,3
2019p811696,176.973266601562,-37.9495239257812,1,4
2019p811696,176.973266601562,-37.9330444335938,1,3
2019p811696,176.984252929688,-37.9385375976562,2,4
2019p811696,176.984252929688,-37.9660034179688,1,4
2019p811696,176.973266601562,-37.9385375976562,1,3
2019p811696,177.039184570312,-37.9660034179688,1,3
2019p811696,174.786987304688,-41.2454223632812,1,3
2019p811696,176.830444335938,-37.9769897460938,1,4
2019p811696,177.006225585938,-37.9495239257812,1,4
2019p811694,176.984252929688,-37.9550170898438,3,4
2019p811694,176.984252929688,-37.9714965820312,1,3
2019p811694,176.962280273438,-37.9605102539062,1,3
2019p811694,176.973266601562,-37.9495239257812,1,4
2019p811694,176.973266601562,-37.9330444335938,1,3
2019p811694,176.984252929688,-37.9385375976562,2,4
2019p811694,176.984252929688,-37.9660034179688,1,4
2019p811694,176.973266601562,-37.9385375976562,1,3
2019p811694,177.017211914062,-37.9550170898438,1,5
2019p811694,177.039184570312,-37.9660034179688,1,3
2019p811694,174.786987304688,-41.2454223632812,1,3
2019p811694,176.830444335938,-37.9769897460938,1,4
2019p811694,177.006225585938,-37.9495239257812,1,4
2019p811689,176.984252929688,-37.9550170898438,3,4
2019p811689,176.973266601562,-37.9495239257812,1,4
2019p811689,176.940307617188,-37.9330444335938,1,3
2019p811689,168.656616210938,-45.0302124023438,1,7
2019p811689,176.973266601562,-37.9330444335938,1,3
2019p811689,176.984252929688,-37.9385375976562,2,4
2019p811689,176.984252929688,-37.9660034179688,1,4
2019p811689,176.973266601562,-37.9385375976562,2,3
2019p811689,177.017211914062,-37.9550170898438,1,5
2019p811689,177.039184570312,-37.9660034179688,1,3
2019p811689,174.786987304688,-41.2454223632812,1,3
2019p811689,176.830444335938,-37.9769897460938,1,4
