publicid,eventtype,origintime,modificationtime,longitude, latitude, magnitude, depth,magnitudetype,depthtype,evaluationmethod,evaluationstatus,evaluationmode,earthmodel,usedphasecount,usedstationcount,magnitudestationcount,minimumdistance,azimuthalgap,originerror,magnitudeuncertainty
2019p747091,earthquake,2019-10-04T10:10:14.108Z,2019-10-04T10:19:51.737Z,167.3790894,-45.11358643,2.409280356,100.7843552,M,,LOCSAT,confirmed,manual,iasp91,18,11,4,0.3855556548,196.9496956,0.3885699088,0
2019p745571,earthquake,2019-10-03T20:40:18.232Z,2019-10-03T20:44:01.250Z,167.4045715,-45.05564117,2.394176657,3.903949261,M,,LOCSAT,confirmed,manual,iasp91,19,12,6,0.4239661694,200.9886971,0.5258223301,0
2019p744853,earthquake,2019-10-03T14:18:01.467Z,2019-10-31T03:04:23.130Z,168.2080841,-44.35723114,3.495540929,5,M,operator assigned,LOCSAT,confirmed,manual,iasp91,31,18,7,0.3748402596,188.643734,0.5728011315,0
2019p743032,earthquake,2019-10-02T22:07:45.971Z,2019-10-02T22:12:57.348Z,168.3459167,-44.5012207,2.965330883,5,M,operator assigned,LOCSAT,confirmed,manual,iasp91,19,15,6,0.3456504047,156.5758591,0.6678518756,0
2019p741266,earthquake,2019-10-02T06:26:41.513Z,2019-10-02T06:33:42.581Z,167.1048584,-45.15778351,2.322912736,5,M,operator assigned,LOCSAT,confirmed,manual,iasp91,15,10,4,0.3088617623,234.8606071,0.677690644,0
2019p738944,earthquake,2019-10-01T09:49:30.381Z,2019-10-01T09:52:36.665Z,167.5059509,-44.88537216,2.311648268,24.79447937,M,,LOCSAT,confirmed,manual,iasp91,12,8,3,0.3668966889,205.7334824,0.6968368327,0
2019p737513,earthquake,2019-09-30T21:07:27.074Z,2019-09-30T21:16:43.799Z,167.7758484,-44.54531097,4.740233407,5,M,operator assigned,LOCSAT,confirmed,manual,iasp91,22,19,48,0.1671763211,204.152317,0.3900144956,0
2019p734544,earthquake,2019-09-29T18:45:04.795Z,2019-09-29T18:52:02.915Z,168.3070374,-44.36803436,2.420408104,5,M,operator assigned,LOCSAT,confirmed,manual,iasp91,18,14,4,0.4090536535,187.9733315,0.7024469501,0
2019p733939,earthquake,2019-09-29T13:23:04.499Z,2019-10-23T03:18:01.826Z,165.864502,-46.67093277,3.076620869,12,M,operator assigned,LOCSAT,confirmed,manual,iasp91,18,10,6,0.7574163675,300.0501328,0.9635156785,0
2019p729052,earthquake,2019-09-27T17:59:19.862Z,2019-09-27T18:04:04.743Z,167.6729126,-44.91696548,2.449731111,49.05961227,M,,LOCSAT,confirmed,manual,iasp91,25,18,5,0.3031828701,182.9627838,0.8942403117,0
2019p726861,earthquake,2019-09-26T22:31:53.857Z,2019-10-22T03:20:16.502Z,168.3252258,-44.38102722,3.199633407,5,M,operator assigned,LOCSAT,confirmed,manual,iasp91,29,23,12,0.4084110558,168.1725349,0.5887642722,0
2019p717696,earthquake,2019-09-23T13:08:39.781Z,2019-09-23T13:12:44.618Z,168.8321228,-44.53012466,3.485178206,5,M,operator assigned,LOCSAT,confirmed,manual,iasp91,28,19,8,0.2762781084,89.71774292,0.5134713211,0
2019p712869,earthquake,2019-09-21T18:16:50.429Z,2019-09-21T18:24:41.927Z,168.7165375,-44.55241394,2.062181458,5,M,operator assigned,LOCSAT,confirmed,manual,iasp91,15,11,3,0.3485659957,98.22433472,0.4712583912,0
2019p712840,earthquake,2019-09-21T18:01:37.460Z,2019-09-21T18:05:12.568Z,167.4232941,-45.24122238,2.319403403,64.03434753,M,,LOCSAT,confirmed,manual,iasp91,15,10,1,0.2934888005,172.0441208,0.6442136952,0
2019p711531,earthquake,2019-09-21T06:23:59.662Z,2019-09-21T06:36:52.728Z,166.8794708,-46.16195297,2.478353731,64.12752533,M,,LOCSAT,confirmed,manual,iasp91,15,8,7,0.1382188052,136.5810089,0.5006253771,0
2019p711513,earthquake,2019-09-21T06:14:15.068Z,2019-10-17T04:04:01.245Z,167.458313,-44.96377563,3.586392189,74.54063416,M,,LOCSAT,confirmed,manual,iasp91,35,18,6,0.4419542551,197.979702,0.5679062581,0
2019p709932,earthquake,2019-09-20T16:12:05.992Z,2019-09-20T16:15:43.047Z,167.0531616,-45.06155777,2.934466384,12,M,operator assigned,LOCSAT,confirmed,manual,iasp91,30,20,8,0.4093562067,218.8346024,0.6810184098,0
2019p707637,earthquake,2019-09-19T19:49:14.518Z,2019-10-15T03:49:03.948Z,167.7714386,-44.94496536,2.420413676,49.77203369,M,,LOCSAT,confirmed,manual,iasp91,22,13,5,0.2931558788,162.3288288,1.10225852,0
